produto,price,entregue
Condicionador,550.24,True
Brinco,394.6,True
Mesa de Centro,830.72,False
Bolsa,241.05,False
Creme Anti-Manchas,330.15,True
Monitor 240Hz,87.16,False
Monitor HD,642.48,True
Protetor Solar,79.13,False
Tenis,634.88,True
Colar,185.56,True
Sofá,403.64,True
Tenis,150.86,True
Camisa,287.14,True
Cama Box com Criado-Mudo,78.54,False
All-in-One,469.34,False
Guarda-Roupa,631.05,False
Cama Box com Gavetas, Cabeceira e Criado-Mudo,751.66,False
Cama Box com Baú e Criado-Mudo,78.79,False
Guarda-Roupa,725.47,True
Mini PC,283.74,True
Monitor 280Hz,846.26,True
Tenis,722.37,False
Cama Box Casal,492.42,True
Monitor,251.07,False
Cadeira Gamer,671.63,True
Creme Anti-Envelhecimento,823.34,False
Computador,92.3,False
Sofá 4 Lugares,473.14,True
Relógio,983.04,False
Camisa,128.23,True
Cama Box com Cabeceira e Criado-Mudo,633.44,False
Monitor 4K,558.22,False
Creme Anti-Inflamação,286.67,True
Macbook,449.66,True
Creme Anti-Celulite,509.76,False
Cama Box com Criado-Mudo,189.92,True
Monitor 240Hz,788.77,False
Cadeira Gamer,783.05,False
Cama Box com Gavetas, Cabeceira e Criado-Mudo,423.37,False
Fio Dental,50.41,False
Hidratante,956.23,True
Monitor 60Hz,314.92,False
Protetor Labial,919.48,True
Cama Box com Criado-Mudo,159.72,False
Creme Anti-Irritação,292.32,False
Cadeira de Praia,775.53,False
Cama Box com Gavetas e Cabeceira,915.48,False
Monitor,673.51,True
Cama Box Queen Size,379.85,False
Creme Anti-Inflamação,717.88,False
Fio Dental,999.8,False
Perfume,174.18,True
Cama Box com Gavetas e Criado-Mudo,291.2,True
Cadeira de Escritório,871.06,False
Monitor Ultrawide,278.48,True
Brinco,309.7,True
Monitor Gamer,51.23,False
Monitor 240Hz,83.64,True
Guarda-Roupa,781.23,True
Sofá 2 Lugares,73.66,False
Creme Anti-Celulite,561.89,False
Escova de Dente,750.25,True
Cama Box Baú,487.02,True
Protetor Labial,828.1,True
Carteira,804.58,True
Sabonete,827.0,True
Recipiente de Alimento,73.33,True
Monitor Gamer,915.53,False
Cama Box com Gavetas, Cabeceira e Criado-Mudo,995.0,True
Creme Anti-Ressecamento,233.11,True
Mochila,618.49,False
Guarda-Roupa Embutido,305.45,False
Óculos de Sol,313.25,True
Cama Box com Baú, Gavetas e Criado-Mudo,938.04,True
Monitor 120Hz,465.04,False
Creme Anti-Idade,184.32,False
Cama Box com Baú, Cabeceira e Criado-Mudo,503.1,False
Cama Box com Gavetas e Cabeceira,211.64,False
Guarda-Roupa Solteiro,512.6,False
Sofá,503.48,False
Creme Anti-Manchas,713.62,False
Óculos de Sol,725.85,True
Cama Box com Baú e Criado-Mudo,479.62,False
Creme Anti-Idade,788.39,True
Sofá 3 Lugares,917.29,True
Cadeira de Jantar,907.6,True
Sofá 4 Lugares,529.43,False
Sofá de Canto,903.71,False
Cama Box,207.99,True
Desktop,326.65,True
Desktop,657.5,False
Chapéu,985.25,True
Monitor Ultrawide,407.83,True
Cadeira de Praia,112.17,True
Hidratante,864.84,False
Sofá 3 Lugares,290.52,False
Macbook,462.47,False
Cama Box com Cabeceira e Criado-Mudo,839.81,False
Chapéu,497.46,True
Recipiente de Vidro,217.16,False
Hidratante,529.02,True
